 ,Category,Organization,Start Date,End Date,Location,Description,URL,Graduate Credit,Emily: 👍
Instructurecarn (Instructurecon),"STEM, Technology, Pedagogy",Canvas,"Tuesday, July 9, 2019","Thursday, July 11, 2019","Long Beach, CA","COME ONE, COME ALL! THE GREATEST EDTECH CONFERENCE ON EARTH IS ABOUT TO BEGIN! It’s educational! It’s technological! It’s pedagogical! Come and witness extraordinary feats of LMS innovation! See mystifying marvels of teaching and learning! You’ll gasp. You’ll gape. You’ll shake your head in utter amazement. Step right up and register to attend!",https://www.canvaslms.com/news/instructurecon/,,
Learning with Innovative Technology Conference,"STEM, Technology, Innovation",SUNY Empire State College & the Saratoga Springs City School District,"Friday, July 12, 2019",,"Saratoga Springs, NY","Join us for this FREE conference on using technologies in education. SUNY Empire State College and the Saratoga Springs City School District will host its annual Learning with Innovative Technology (LIT) Conference at the Saratoga Springs Maple Avenue Middle School, 515 Maple Avenue, Saratoga Springs, NY 12866.

This conference is designed for educators of all types, including K-12 teachers, higher-education faculty and students, technologists, librarians and anyone else interested in the use of technologies in education. The conference is packed with presentations from other educators, like you, who have something to share in the field. You'll walk away from this conference with new and fresh ideas to bring back to your school and classroom. Professional development certificates will be awarded to those interested.

",https://www.esc.edu/graduate-studies/lit/,,
Building Learning Communities (BLC) Pre-Conference Master Classes,"STEM, Technology, School Design, Leadership, Pedagogy, Global Studies, Innovation, History, Humanities, Math, Science, Literature",November Learning,"Sunday, July 14, 2019","Tuesday, July 16, 2019","Boston, MA","These workshops provide intensive, hands-on opportunities for exploring leading-edge teaching and learning skills and strategies. Space is limited, so book early! Participants may register for these workshops without registering for the main summer conference session.

See website for specific workshop offerings.",https://novemberlearning.com/education-conference/#,,
Institute for New Teachers,Pedagogy,SAIS (Serving and Accrediting Independent Schools),"Monday, July 15, 2019","Wednesday, July 17, 2019","Charlotte, NC","This interactive experience will equip new teachers with the skills and understanding to guide and support their early years. Participants will present two sample lessons to a small peer group. Guided by an experienced educator, lessons will be recorded and reviewed in the small group setting. Discussion will focus on strengths and opportunities observed during the lesson. New teachers will learn best practices for lesson development, parent communication, and classroom management. They will address anticipated challenges and difficult conversations through real-life scenarios and role play. ",https://www.sais.org/page/2019Calendar,,
"George Washington Teacher Institute Summer Residential Programs - First in Business: George Washington, Mount Vernon, and the New Nation","History, Humanities",Mount Vernon Ladies' Association of the Union,"Tuesday, July 16, 2019","Saturday, July 20, 2019","Mount Vernon, VA","A 5-day immersive professional development designed to support K-12 educators teach about the life, leadership, and legacy of George Washington and the 18th-century world in which he lived. Each program includes these signature elements:

In-depth content and primary source analysis.
Immersive 18th-century experiences with historical interpreters and subject matter experts.
Lively debate and engaged collaboration with visiting scholars, fellow participants, and Mount Vernon staff.
Classroom applicability including technology integration.
Connections between historical events and contemporary student experiences.",http://www.mountvernon.org/education/for-teachers/teaching-institutes-professional-development/residential-programs/summer-residential-programs/,,
Building Learning Communities (BLC),"STEM, Technology, School Design, Leadership, Pedagogy, Global Studies, Innovation, History, Humanities, Math, Science, Literature",November Learning,"Wednesday, July 17, 2019","Friday, July 19, 2019","Boston, MA","Join colleagues from around the world who care deeply about bringing the best innovative and practical learning resources to our students. Our education conference will provide you with inspiration, practical skills and expand your professional network with educators from around the world.

If you have a hand in education — whatever your interest, ability or setting — BLC has something for you. In 2015, BLC drew more than 800 participants, representing countless K-12 and college roles, along with thought leaders from around the world. This year’s event will offer a choice of over 100 pre-conference master classes and main conference sessions, feature world-renowned keynote speakers, and showcase services and solutions.",https://novemberlearning.com/education-conference/#,,
Institute for New Teachers: Public to Private,Pedagogy,SAIS (Serving and Accrediting Independent Schools),"Thursday, July 18, 2019","Friday, July 19, 2019","Charlotte, NC","This program is designed for experienced public school teachers who are making the move to an independent school. Participants should have at least three years of teaching experience in a public school setting. Topics include the unique culture of an independent school, working and communicating within the school community, navigating HR/legal issues, and balancing new responsibilities with a healthy home life.",https://www.sais.org/page/2019Calendar,,
National Principals Conference (NPC),"Leadership, School Design",National Association of Elementary School Principals and National Association of Secondary School Principals,"Thursday, July 18, 2019","Saturday, July 20, 2019","Boston, MA","With innovative programming that will address the specific needs and challenges of school leaders, this conference is your chance to join your peers to mold the course of student success.",http://www.principalsconference.org/,,
BbWORLD 17,"Leadership, Technology, STEM, Online Learning",Blackboard,"Tuesday, July 23, 2019","Thursday, July 25, 2019","Austin, TX","BbWorld is where great minds in education come together to exchange ideas, share best practices, and address today’s toughest educational challenges. Join us for three days of informative sessions and non-stop networking.",http://bbworld.com/,,
8th Annual STEM Forum & Expo,"STEM, Science, Math",National Science Teachers Association,"Wednesday, July 24, 2019","Friday, July 26, 2019","San Francisco, CA","The 8th Annual STEM Forum & Expo, hosted by NSTA, is a unique, focused event that brings together (informal and formal) educators and representatives from exhibiting companies who are interested in, and who have tools and resources to share that will ensure successful implementation of STEM education into our schools and communities. It is intended to provide resources for educators and organizations seeking to learn more about STEM education, associated outreach programs, partnerships, schools, and curricula",http://s6.goeshow.com/nsta/stem/2019/,,
George Washington Teacher Institute Summer Residential Programs - Washington at War: From Soldier to Commander in Chief,"History, Humanities",Mount Vernon Ladies' Association of the Union,"Tuesday, July 30, 2019","Saturday, August 3, 2019","Mount Vernon, VA","A 5-day immersive professional development designed to support K-12 educators teach about the life, leadership, and legacy of George Washington and the 18th-century world in which he lived. Each program includes these signature elements:

In-depth content and primary source analysis.
Immersive 18th-century experiences with historical interpreters and subject matter experts.
Lively debate and engaged collaboration with visiting scholars, fellow participants, and Mount Vernon staff.
Classroom applicability including technology integration.
Connections between historical events and contemporary student experiences.",http://www.mountvernon.org/education/for-teachers/teaching-institutes-professional-development/residential-programs/summer-residential-programs/,,
MAA MathFest 2019,"Math, STEM",Mathematical Association of America,"Wednesday, July 31, 2019","Saturday, August 3, 2019","Cincinnati, OH","MAA MathFest draws mathematicians from all over the world to celebrate mathematics and build connections. The annual summertime meeting features numerous sessions devoted to all aspects of mathematical education and the latest in mathematical research. MAA MathFest continues to bring new and upcoming mathematicians into the community: last year 23 percent of attendees were graduate and undergraduate students, and more than 30 percent were first-time attendees.",https://www.maa.org/meetings/mathfest,,
George Washington Teacher Institute Summer Residential Programs - The Great Experiment: George Washington and the Founding of the U.S. Government,"History, Humanities",Mount Vernon Ladies' Association of the Union,"Tuesday, August 6, 2019","Saturday, August 10, 2019","Mount Vernon, VA","A 5-day immersive professional development designed to support K-12 educators teach about the life, leadership, and legacy of George Washington and the 18th-century world in which he lived. Each program includes these signature elements:

In-depth content and primary source analysis.
Immersive 18th-century experiences with historical interpreters and subject matter experts.
Lively debate and engaged collaboration with visiting scholars, fellow participants, and Mount Vernon staff.
Classroom applicability including technology integration.
Connections between historical events and contemporary student experiences.",http://www.mountvernon.org/education/for-teachers/teaching-institutes-professional-development/residential-programs/summer-residential-programs/,,
Distance Teaching & Learning Conference,"Online Learning, STEM, Technology",University of Wisconsin-Madison,"Tuesday, August 6, 2019","Thursday, August 8, 2019","Madison, WI","With more than 130 sessions—featured talks, problem-solving sessions, discussions, demos, hands-on mini-workshops, and so much more—plus abundant opportunities for networking, this is one conference where online education professionals will surely be inspired, engaged, and informed",https://dtlconference.wisc.edu/ ,,
Board/Head Retreat,Leadership,SAIS (Serving and Accrediting Independent Schools),"Sunday, October 27, 2019",,"Atlanta, GA","Designed to strengthen the communication and partnership between the head of school and members of the board, this program offers the opportunity to collaborate on current challenges and identify common goals for the success of the school. ",https://www.sais.org/page/2019Calendar,,
SAIS Annual Conference,"Leadership, School Design",SAIS (Serving and Accrediting Independent Schools),"Sunday, October 27, 2019","Tuesday, October 29, 2019","Atlanta, GA","An informative, innovative, and comprehensive opportunity for independent school leaders to gather and discover proven strategies and emerging trends. Join us and over 300 colleagues from across the Southeast as we delve into hot topics and relevant issues. Attend sessions that fill in gaps in your experience, converse with leaders from schools with a similar size and budget, and learn from top-notch speakers. ",https://www.sais.org/page/2019Calendar,,
American Association of School Librarians Annual Conference & Exhibition,Library,American Association of School Librarians (a division of the ALA),"Thursday, November 14, 2019","Saturday, November 16, 2019","Louisville, KY","The AASL National Conference & Exhibition is the the only national conference devoted solely to the needs of school librarians. The conference is held every two years and coordinated by a member-committee composed of association leaders from across the nation. While it is the primary continuing education activity of the division and a leading professional development event for school librarians, the AASL national conference is also an excellent educational and business forum for the entire library community. ",http://www.ala.org/aasl/conferences/national,,
Pennsylvania Education Technology Expo and Conference (PETE&C),"STEM, Technology",PETE&C,"Sunday, February 23, 2020","Wednesday, February 26, 2020","Pittsburgh, PA","EdTech conference, expo & student showcase",https://www.peteandc.org/,,
SAIS Annual Conference,"Leadership, School Design",SAIS (Serving and Accrediting Independent Schools),"Sunday, October 18, 2020","Tuesday, October 20, 2020","Nashville, TN","An informative, innovative, and comprehensive opportunity for independent school leaders to gather and discover proven strategies and emerging trends. Join us and over 300 colleagues from across the Southeast as we delve into hot topics and relevant issues. Attend sessions that fill in gaps in your experience, converse with leaders from schools with a similar size and budget, and learn from top-notch speakers. ",https://www.sais.org/page/2019Calendar,,
Pennsylvania Education Technology Expo and Conference (PETE&C),"STEM, Technology",PETE&C,"Sunday, February 7, 2021","Wednesday, February 10, 2021","Hershey, PA","EdTech conference, expo & student showcase",https://www.peteandc.org/,,
Association of Writers & Writing Programs Conference and Bookfair,"Humanities, Literature, Arts, Library",Association of Writers & Writing Programs (AWP),"Wednesday, March 3, 2021","Saturday, March 6, 2021","Kansas City, MO","The AWP Conference & Bookfair is an essential annual destination for writers, teachers, students, editors, and publishers. Each year more than 12,000 attendees join our community for four days of insightful dialogue, networking, and unrivaled access to the organizations and opinion-makers that matter most in contemporary literature. The conference features over 2,000 presenters and 550 readings, panels, and craft lectures. The bookfair hosted over 800 presses, journals, and literary organizations from around the world. AWP’s is now the largest literary conference in North America. Join us in Tampa, FL, in 2018 to celebrate the best of what contemporary literature has to offer.",https://www.awpwriter.org/awp_conference/overview,,
SAIS Annual Conference,"Leadership, School Design",SAIS (Serving and Accrediting Independent Schools),"Sunday, October 17, 2021","Tuesday, October 19, 2021","Atlanta, GA","An informative, innovative, and comprehensive opportunity for independent school leaders to gather and discover proven strategies and emerging trends. Join us and over 300 colleagues from across the Southeast as we delve into hot topics and relevant issues. Attend sessions that fill in gaps in your experience, converse with leaders from schools with a similar size and budget, and learn from top-notch speakers. ",https://www.sais.org/page/2019Calendar,,
American Association of School Librarians Annual Conference & Exhibition,Library,American Association of School Librarians (a division of the ALA),"Thursday, October 21, 2021","Sunday, October 24, 2021","Salt Lake City, UT","The AASL National Conference & Exhibition is the the only national conference devoted solely to the needs of school librarians. The conference is held every two years and coordinated by a member-committee composed of association leaders from across the nation. While it is the primary continuing education activity of the division and a leading professional development event for school librarians, the AASL national conference is also an excellent educational and business forum for the entire library community. ",http://www.ala.org/aasl/conferences/national,,
Association of Writers & Writing Programs Conference and Bookfair,"Humanities, Literature, Arts, Library",Association of Writers & Writing Programs (AWP),"Wednesday, March 23, 2022","Saturday, March 26, 2022","Philadelphia, PA","The AWP Conference & Bookfair is an essential annual destination for writers, teachers, students, editors, and publishers. Each year more than 12,000 attendees join our community for four days of insightful dialogue, networking, and unrivaled access to the organizations and opinion-makers that matter most in contemporary literature. The conference features over 2,000 presenters and 550 readings, panels, and craft lectures. The bookfair hosted over 800 presses, journals, and literary organizations from around the world. AWP’s is now the largest literary conference in North America. Join us in Tampa, FL, in 2018 to celebrate the best of what contemporary literature has to offer.",https://www.awpwriter.org/awp_conference/overview,,
2019 NCEA New Directions STREAM 3.0 Conference,"Religion, Leadership, STEM, Technology, Arts",National Catholic Educational Association (NCEA) ,"Sunday, June 17, 2029","Wednesday, June 19, 2019","Parsippany, NJ","The conference will provide a top-level education to teachers, school leaders, and diocesan leaders. Since STREAM's (Science, Technology, Religion, Engineering, Arts and Mathematics) inception in 2014, research has shown that robust STEM programs are a priority for today's prospective Catholic school parent. Attendees will learn how to effectively facilitate the design and delivery of a comprehensive STREAM program which not only emphasizes a robust STEM program but ensures the intentional integration of the faith and the arts. Ongoing advances in understanding the impact of neuroscience on student learning will be explored. Updated STREAM education indicators will be presented. The conference is designed to be collaborative and provide for sharing information and best practices. The meeting consists of professional development sessions, inspirational keynotes, and networking opportunities.",https://www.ncea.org/NCEA/Learn/Events/Event_Display.aspx?EventKey=STREAM3.0&WebsiteKey=60819b28-9432-4c46-a76a-a2e20ac11cfd,,
The Life Guard Teacher Fellowship Program ,"History, Humanities, Research",Fred W. Smith National Library,Flexible,,"Mount Vernon, VA","The Life Guard Teacher Fellowship Program began in 2013 to support the creation of classroom materials and teacher resources about the life, legacy, and leadership of George Washington. Fellows work closely with the staff at the Fred W. Smith National Library for the Study of George Washington as they research and produce work to be distributed to a national audience.

The Life Guard Teacher Fellowships will support the creation or dramatic transformation of curriculum materials, lesson plans, website content, interpretive tools, or other education resources to support a 21st-century classroom’s needs. The subject of said materials must relate to teaching about George Washington and the founding era. Four to six fellowships will be awarded during the 2017-18 cycle. 

Successful applications will demonstrate knowledge of curriculum connections to George Washington and the founding era; the ability to integrate the material with national and state-based models for student assessment and standards; and will make use of Mount Vernon’s existing online and onsite expertise and resources. The proposed project should show both creativity and practicality so that it pushes innovation and also can be adopted in a variety of classroom environments.  

Fellowships awarded are for one to three weeks of consecutive or non-consecutive study between June 2017 and August 2018.

Selected fellows will work with Mount Vernon staff to schedule dates for residency. Reimbursement for one round trip to the Washington Library, housing, and a $1000 stipend for each week of research at the Library are also included in the Fellowship. ",http://www.mountvernon.org/education/for-teachers/teaching-institutes-professional-development/the-life-guard-teacher-fellowship-program/,,
Critical Friends Group™ (CFG®) New Coaches Training,"Leadership, Pedagogy, School Design",Wildwood School,N/A,,Your School,"Customized On-site Training Only (12 participant minimum)

Ready to develop peer-to-peer coaching at your school?
This five-day workshop provides educators with research-based tools for developing a collaborative culture that fosters professional learning communities and improves student achievement. Beginning Coaches Training offers an opportunity to learn the fundamentals of CFG coaching by experiencing them firsthand. Participants also meet and work with like-minded professionals engaged in similar work across the country.


By the end of the workshop, participants will:

Be CFG coaches certified by The National School Reform Faculty
Embrace adult learning in service of student achievement
Know how to “mine” a text for maximum meaning
Understand how to match protocols to particular examples of student and adult work
Know how to give and receive productive feedback on professional practice
Develop CFG facilitation skills
Have several strategies for increasing adult learning by examining student and adult work
Develop skills to create equitable opportunities for all students
Have a plan for starting a CFG at their school or district
",https://www.wildwood.org/page.cfm?p=1627#CFG,,
American Library Association Online Learning Offerings,Library,American Library Association / American Association of School Librarians,N/A,,Online,"Tons of free online webinars that you can watch on-demand, along with a large number of eCourses. Examples include: 
-From 0 to 60: Implement E-books in Your Library Program in 4 Weeks
-Making Your Library Epic: Creating Innovative Spaces for Student Learning
-Best Apps for Teaching & Learning: Transform Teaching and Learning with Digital Tools",http://www.ala.org/onlinelearning/unit/aasl,,
"Annenberg Learner: Online teacher resources and professional development across the curriculum
","Arts, Humanities, History, Literature, Writing, Math, Science, STEM, Language, Pedagogy",Annenberg Learner & Annenberg Foundation,N/A,,Online,"Annenberg Learner funds and distributes more than 100 multimedia courses and workshops to help teachers keep current on the content they teach. Professional development resources provide teachers with research on the most effective teaching strategies along with their connection to national education content standards, and examples of these principles applied in real classrooms. The video components are paired with extensive Web sites that include online texts, course and workshop guides, and extensive background information to enhance the learning experience. Using these resources, teachers can learn from experts, other teachers, and even students who reveal their unique interpretations of the content.

Teachers also can earn graduate education credit using these resources through Colorado State University for a low tuition fee. We also make the resources available at no cost to individual learners through our Web site, Learner.org. 

Workshops cover a wide range of disciplines and grade levels. There are MANY offerings, for example: 

Arts
-Art Through Time: A Global View

Education Theory and Issues
-Neuroscience & the Classroom: Making Connections
-Principles for Principals
-Reading & Writing in the Disciplines

History and Social Studies
-The Economics Classroom: A Workshop for Grade 9-12 Teachers
-Primary Sources: Workshops in American History
-Making Civics Real: A Workshop for Teachers

Literature and Language Arts
-Developing Writers: A Workshop for High School Teachers
-The Expanding Canon: Teaching Multicultural Literature in High School
-Teaching Foreign Languages 

Mathematics
-Private Universe Project in Mathematics
-Insights Into Algebra 1: Teaching for Learning
-Assessment in Math and Science: What's the Point?

Science
-The Habitable Planet: A Systems Approach to Environmental Science
-Chemistry: Challenges and Solutions
-Physics for the 21st Century
-Rediscovering Biology: Molecular to Global Perspectives

",http://www.learner.org/workshops/workshop_list.html,X,X
AP Online Professional Development Options,"Science, Math, STEM, Global Studies, Language, Humanities, History, Arts, Literature, Writing, Leadership",College Board,N/A,,Online,"Numerous free online options for both new and experienced teachers.

Options include: 
-Close Reading of Challenging Primary Sources
-Writing About Art
-Teaching and Assessing AP European History
-Historical Thinking Skills and Rubrics
-Teaching and Assessing AP Calculus AB and BC
-Quantitative Methods, Part 1: An Introduction to Descriptive Statistics
-World Languages and Cultures: Interactive Online Modules",http://apcentral.collegeboard.com/apc/public/professional_development/online_pd/index.html,,
Authentic Education Workshops,"Pedagogy, Leadership, School Design",Authentic Education (Grant Wiggins),N/A,,Your School,"At Authentic Education, we honor our belief in the individuality of schools by customizing all services to meet the specific needs of our clients.

Our workshops are interactive, combining multimedia presentation with hands-on activities, intriguing dialogue, and opportunities to apply powerful principles and tools to your particular circumstances. We provide a comprehensive set of proven worksheets, examples, and other materials for use during and long after the workshop.

Go to the website to learn about the most popular workshops (such as an introduction to Learning by Design) and the services most commonly requested of us by schools throughout the world. If nothing here suits your particular needs, please call us.
",http://www.authenticeducation.org/services/workshops.lasso,,
BbWORLD K-12 Live: The Digital Program,"Leadership, Technology, STEM, Online Learning",Blackboard,N/A,,Online,"There are some digital sessions from the BbWorld conference available online for viewing on demand. 

This year we’re presenting content for the entire K-12 community, from communications professionals to teachers. Don’t miss out on a chance to hear from peers and Blackboard experts about the topics that matter most to you, including community engagement, educational accessibility, and personalized learning.",http://bbworld.com/bbworldlive/k12/,,
GLOBALED.TV: A Webinar Series,"Global Studies, Humanities, Pedagogy, Leadership, Diversity/Equity/Inclusion","Global Education Conference Network, the Learning Revolution and Know My World",N/A,,Online,"GlobalEd TV is a free inclusive and  comprehensive webinar series which spotlights theories and best practices related to multiculturalism in schools and organizations all over the world. This 5 part series is designed to inform educators, students and parents about the role of cultural and global competence in  education. Hosted twice a month by the Global Education Conference Network, the Learning Revolution and Know My World, participants will be included in global conversations with featured experts , practitioners and organizations in the field, with the goal of exploring the impact of global education. Through themed sessions, interviews, dynamic examples, Q&A, and practical exercises, each one-hour segment will provide participants with the knowledge and skills to bring global competence to their schools and communities.

Series took place in 2016 and is now available to watch on-demand.",http://www.globaled.tv/archive.html,,
Google Education Training Center,"Technology, Leadership",Google,N/A,,Online,"Free, online training to help you use Google Tools in your classroom. Also offers Device Training and a course to become a Trainer. ",https://edutrainingcenter.withgoogle.com/,,
Hemispheres: The International Outreach Consortium Webinars,"Global Studies, Humanities, History, Arts, Religion",Hemispheres: The International Outreach Consortium at the University of Texas-Austin,N/A,,Online,"Hemispheres offers short webinars year round through the Adobe Connect platform. Adobe Connect is easy to use, as it requires you, the viewer, only to have a web browser -- there is no additional software to download or install! 

Check the website for upcoming webinars, or view previous ones on-demand. 

Examples of Past Webinars:
-Great Works, Great Ideas: a five-part webinar series exploring great ideas and great works of literature and architecture and the impact they've had on societies and cultures throughout the ages. Individual sessions include The Western Dome in Architecture: From the Pantheon to the Texas Capitol and The Qur'an, Art & Architecture) 
-South Asian Religions: a four-part webinar
-Bridging the Human and Physical Experiences of Africa",http://liberalarts.utexas.edu/hemispheres/online/index.php,,
High Tech High  Massive Open Online Courses (MOOCs),"Pedagogy, Leadership",High Tech High,N/A,,Online,"A number of MOOCs, ranging from ""How to Teach Us"" to ""Deeper Learning 101"" to ""School Creation."" ",http://gse.hightechhigh.org/moocs.php,,
Library of Congress Online Modules,"Library, Humanities, Literature, History",Library of Congress,N/A,,Online,"Earn a certificate of completion by taking the Library's self-paced interactive modules. Each multimedia-rich program delivers approximately one hour of staff development.

Free modules include:
-Supporting Inquiry with Primary Sources
-Analyzing Primary Sources: Maps
-Analyzing Primary Sources: Photographs and Prints",http://www.loc.gov/teachers/professionaldevelopment/selfdirected/,,
National Association for College Admission Counseling Online Webinars,Counseling,National Association for College Admission Counseling,N/A,,Online,"Numerous webinars, ranging from ""Ethics and the Early FAFSA"" to ""What's your Story? Helping Students Write Their College Essays.""",https://www.nacacnet.org/professional-development/webinars/,,
National Council of Teachers of English Online Learning,"Humanities, Literature, Writing",National Council of Teachers of English,N/A,,Online,"Self-paced examinations, web seminars, and facilitated online courses",http://www.ncte.org/online-learning,,
SSS Training Webinars,"Financial, Leadership",School & Student Services (SSS) by NAIS,N/A,,Online,"SSS provides online learning events throughout the financial aid season. These include webinars such as: ""Trends in The Financial Aid Landscape,"" ""Making The Financial Aid Grant:  What’s The Right Number?"" and ""Spotlight on Taxes:  The 1040 and W2."" These webinars are free to SSS Subscribers and are recorded for on-demand viewing as well.",https://sssbynais.org/webinars,,
Systems Thinking in Schools: Web Ed,"Pedagogy, Leadership, School Design, STEM, Science",Waters Foundation,N/A,,Online,"These free, online learning modules allow both novices and those with some systems experience to explore systems thinking concepts and tools at their own pace.",http://www.watersfoundation.org/webed/,,
Systems Thinking Webinars,"Pedagogy, Leadership, School Design, STEM, Science, Humanities",Waters Foundation,N/A,,Online,"Anyone can view recordings of previous webinars on the website and access materials used during the session. 

A few examples of sessions: 
-A Systems Approach to Strategic Planning & School Improvement
-Using Systems Tools to Analyze Nonfiction Text
-Social Justice and Systems Thinking

Visit the events calendar to register for upcoming webinars.",http://watersfoundation.org/professional-development-events/webinars/,,
The Independent Curriculum Group Webinars,"Leadership, Pedagogy, Innovation",The Independent Curriculum Group,N/A,,Online,"Many free webinars, ranging from ""Teacher Orientation & Induction: Doing It Right"" to ""Moving to Competency-Based Learning"" to ""Shadowing Students: Your School’s User Experience."" ",http://independentcurriculum.org/services/webinar-archive/,,
Webinars: Global Learning for Educators,"Global Studies, Language, Humanities, History, Leadership",Asia Society Center for Global Education,N/A,,Online,"You can view the Global Learning for Educators webinar series from 2012-2013. 

The webinar offerings include: 
-Integrating International Perspectives into U.S. History – Resources for the Challenges Facing Today’s Teacher
-What We Can Learn about Education from International Data
-School Leadership in a Changing World
-Students as Linguists and Diplomats: Eight Principles for Creative World Language Teaching

",http://asiasociety.org/education/webinars-global-learning-educators,,
Making Civics Real: A Workshop for Teachers,"History, Humanities","Annenberg Learner, State of the Art, National Council for the Social Studies, and the Center for Civic Education.",N/A ,,Online,"A free video workshop for high school teachers; 8 one-hour video programs, workshop guide, and Web site; graduate credit available.

This video workshop for the professional development of high school teachers illustrates a constructivist approach to the teaching of civics, with eight video programs, each dedicated to one teacher's multi-part lesson. Developed in collaboration with the National Council for the Social Studies and the Center for Civic Education, the video programs, Web site, and print guide provide the methodology for the effective teaching of civics, and include complete lesson plans of the lessons shown in the video. ",http://www.learner.org/resources/series177.html#,,
AP Central: Workshops,"Science, Math, Global Studies, Language, Humanities, History, Arts, Literature, Writing, Leadership",College Board,Numerous,,Numerous,"There are one- and two-day workshops perfect for all educator levels:

-New AP teachers in the process of developing or refining an AP course.
-Experienced AP teachers seeking to learn new strategies and share best practices.
-K–12 teachers who want to be equipped with the Pre-AP strategies needed to engage students in high-level learning.
-Administrators and AP Coordinators interested in establishing an AP program, building Vertical Teams, and organizing an exam administration.

Visit the website for the complete catalogue of offerings, dates, and locations. ",http://apcentral.collegeboard.com/InstitutesAndWorkshops,,
Center for Contemporary Arab Studies at Georgetown University: K-14 Educational Outreach,"Humanities, History, Global Studies, Religion",Center for Contemporary Arab Studies at Georgetown University,Numerous,,"Washington, DC","As a U.S. Department of Education-sponsored National Resource Center on the Middle East and North Africa (NRC-MENA), the Center for Contemporary Arab Studies at Georgetown conducts workshops for educators throughout the year. The K-14 Education Outreach program focuses on the needs of K-14 educators in the District of Columbia, Maryland, Virginia, and beyond. The program helps teachers convey a nuanced and realistic view of Arabs and Islam to overcome stereotypes and shallow media presentations, supplementing the often inadequate treatment in curriculum and textbooks. In its fourth decade, CCAS has served thousands of educators through workshops and institutes, teaching units and background modules, resources from past workshops, a lending library, and curriculum development support. The program is supported by a Title VI grant from the Department of Education, the Center for Contemporary Arab Studies, and private sector grants.

Check website for upcoming offerings and to access resources from past workshops. ",https://ccas.georgetown.edu/outreach-events,,
Eagle Rock School & Professional Development Center,"Pedagogy, Leadership, Personalized",Eagle Rock School,Numerous,,"Estes Park, CO or Your School","Host visiting educators, provide school visits, and facilitate school improvement. The Professional Development staffers here at Eagle Rock are organizational school change consultants. They work with schools and school districts and youth service organizations across the United States to help those entities create healthy, high-functioning learning environments with the aim to improve student engagement.",http://eaglerockschool.org/professional-development-center/,,
Ed Tech Team / Google for Education,"Technology, STEM",EdTechTeam / Google for Education ,Numerous,,Numerous,"Numerous opportunities! Summits, Bootcamps, Workshops, and Online Learning opportunities. EdTechTeam Summits featuring Google for Education are fast-paced, high-energy, conference-style events. Discover what’s possible, and how you can make it happen for your students.",https://www.edtechteam.com/,,
EdCamp,"Un-Conference, Pedagogy, Leadership, Diversity/Equity/Inclusion, Innovation, Personalized",The EdCamp Foundation,Numerous,,Numerous,"Edcamps are organic, participant-driven professional learning experiences.

Tenets of Edcamp:
-Free
-Open to everyone
-Created by participants on the day of the edcamp
-Sessions facilitated by anyone - experience not experts
-Reliant on the ""rule of two feet” that empowers everyone to find sessions that meet their needs
-Vendor-free events​

What began as an idea has transformed into a movement. Since the original Edcamp in 2010 there have been over 700 conferences around the world in 25 countries. In the first few months following that first session in Philadelphia, the Edcamp movement grew and flourished in a grassroots manner. Each Edcamp is independently organized and hosted, is free to participants, bringing together passionate educators for a day of learning and growth. The conferences are participant-driven with the sessions developed and facilitated by the teachers who are attending and leverage social media to involve remote attendees.

By adopting the un-conference protocol inspired by the Barcamp model, Edcamps provide access to high quality, personalized professional learning for all educators. Embracing the belief that fellow educators can be some of the most valuable professional development resources for their colleagues, the Edcamp movement has been recognized by countless organizations, including the United States Department of Education, the Bammy Awards for Education, the Association for Supervision and Curriculum Development (ASCD), the International Society for Technology in Education (ISTE), the TEDx program and the Bill & Melinda Gates Foundation.",http://www.edcamp.org/?page_id=350%20?,,
"Facing History and Ourselves Webinars, Workshops, Courses and Seminars","Humanities, Literature, History, Diversity/Equity/Inclusion",Facing History and Ourselves,Numerous,,Numerous and Online,"By integrating the study of history, literature, and human behavior with ethical decision making and innovative teaching strategies, our program enables secondary school teachers to promote students’ historical understanding, critical thinking, and social-emotional learning. As students explore the complexities of history, and make connections to current events, they reflect on the choices they confront today and consider how they can make a difference.

Our workshops are offered both in-person and online. In-person workshops last anywhere from 2 hours to 1-3 days, whereas online workshops typically last 3-5 days.",https://www.facinghistory.org/professional-development ,,
Framingham State University Online Courses for Teachers,"Science, Math, STEM, Technology, Global Studies, Language, Humanities, History, Arts, Literature, Writing, Counseling, Diversity/Equity/Inclusion, Pedagogy, Leadership, Special Education",Framingham State University,Numerous,,Online,"Continuing Education at Framingham State University allows you to broaden your opportunities through a variety of credit and noncredit programs. 

See website for complete catalogue of courses. 

Examples include: 
-Defining & Creating Professional Learning Communities
-Using Technology to Help Students Demonstrate Understanding: Did They Really Get It? Web Tools to Help With Formative or Summative Assessment
-Designing a Virtual Field Trip
-Creating an Inclusive School-wide Environment
-Preventing Eating Disorders
-Integrating Mathematics, Writing & Literature
",https://www.framingham.edu/academics/continuing-education/professional-development/courses-and-registration,X,
Global Summits featuring Google for Education,"Technology, STEM",EdTechTeam,Numerous,,Numerous,"Each two-day high-intensity event focuses on deploying, integrating, and using Google Apps for Education (and other Google tools) to promote student learning in K-12 and higher education.",https://www.gafesummit.com/,,
